Id_Linea,Linea,Inicio,Fin,Tipo
144,144,PAVONES,ENTREVIAS,Diario
145,145,PLAZA DEL CONDE DE CASAL,ENSANCHE DE VALLECAS,Diario
146,146,PLAZA DEL CALLAO,LOS MOLINOS,Diario
147,147,PLAZA DEL CALLAO,BARRIO DEL PILAR,Diario
148,148,PLAZA DEL CALLAO,PUENTE DE VALLECAS,Diario
149,149,TRIBUNAL,PLAZA DE CASTILLA,Diario
150,150,PUERTA DEL SOL/SEVILLA,COLONIA VIRGEN DEL CORTIJO,Diario
151,151,CANILLEJAS,BARAJAS,Diario
152,152,AVENIDA DE FELIPE II,MENDEZ ALVARO,Diario
153,153,LAS ROSAS,MAR DE CRISTAL,Diario
155,155,PLAZA ELIPTICA,ALUCHE,Diario
156,156,PLAZA DE MANUEL BECERRA,PLAZA DE LEGAZPI,Diario
160,160,MONCLOA,ARAVACA,Diario
161,161,MONCLOA,ESTACION DE ARAVACA,Diario
162,162,MONCLOA,EL BARRIAL,Diario
172,172,MAR DE CRISTAL,TELEFONICA,Diario
173,173,PLAZA DE CASTILLA,SANCHINARRO,Diario
174,174,PLAZA DE CASTILLA,SANCHINARRO ESTE,Diario
176,176,PLAZA DE CASTILLA,LAS TABLAS,Diario
177,177,PLAZA DE CASTILLA,MARQUES DE VIANA,Diario
178,178,PLAZA DE CASTILLA,MONTECARMELO,Diario
180,180,PLAZA DE LEGAZPI,CAJA MAGICA,Diario
200,200,AVENIDA DE AMERICA,AEROPUERTO,Diario
203,203,ATOCHA RENFE,AEROPUERTO,Diario
210,210,PLAZA DE MANUEL BECERRA,LA ELIPA,Diario
215,215,AVENIDA DE FELIPE II,PARQUE DE ROMA,Diario
247,247,ATOCHA,COLONIA SAN JOSE OBRERO,Diario
310,310,PACIFICO,ESTACION EL POZO,Diario
372,172SF,MAR DE CRISTAL,LAS TABLAS,Diario
401,E1,ATOCHA,PLAZA ELIPTICA,Diario
402,E2,AVENIDA DE FELIPE II,LAS ROSAS,Diario
403,E3,AVENIDA DE FELIPE II,PUERTA DE ARGANDA,Diario
451,T11,MAR DE CRISTAL,PARQUE EMPRESARIAL CRISTALIA,Trabajo
452,T23,PUERTA DE ARGANDA,POLIGONO INDUSTRIAL DE VICALVARO,Trabajo
453,T32,PLAZA DE LEGAZPI,MERCAMADRID-C.T.M,Trabajo
454,T31,ESTACION EL POZO,SIERRA DE GUADALUPE,Trabajo
455,T61,ESTACION DE CERCANIAS DE FUENCARRAL,LAS TABLAS,Trabajo
456,T41,VILLAVERDE ALTO,POLIGONO INDUSTRIAL LA RESINA,Trabajo
457,T62,PLAZA DE CASTILLA,ESTACION DE CHAMARTIN,Trabajo
481,H1,SIERRA DE GUADALUPE,HOSPITAL INFANTA LEONOR,Diario
501,N1,PLAZA DE CIBELES,SANCHINARRO,Nocturno
502,N2,PLAZA DE CIBELES,HORTALEZA,Nocturno
503,N3,PLAZA DE CIBELES,CANILLAS,Nocturno
504,N4,PLAZA DE CIBELES,BARAJAS,Nocturno
505,N5,PLAZA DE CIBELES,COLONIA FIN DE SEMANA,Nocturno
506,N6,PLAZA DE CIBELES,LAS ROSAS,Nocturno
507,N7,PLAZA DE CIBELES,VICALVARO,Nocturno
508,N8,PLAZA DE CIBELES,VALDEBERNARDO,Nocturno
509,N9,PLAZA DE CIBELES,ENSANCHE DE VALLECAS,Nocturno
510,N10,PLAZA DE CIBELES,PALOMERAS,Nocturno
511,N11,PLAZA DE CIBELES,MADRID SUR,Nocturno
512,N12,PLAZA DE CIBELES,BARRIO DE LOS ROSALES,Nocturno
513,N13,PLAZA DE CIBELES,COLONIA SAN CRISTOBAL DE LOS ANGELES,Nocturno
514,N14,PLAZA DE CIBELES,VILLAVERDE ALTO,Nocturno
515,N15,PLAZA DE CIBELES,ORCASUR,Nocturno
516,N16,PLAZA DE CIBELES,AVENIDA DE LA PESETA,Nocturno
517,N17,PLAZA DE CIBELES,CARABANCHEL ALTO,Nocturno
518,N18,PLAZA DE CIBELES,ALUCHE,Nocturno
519,N19,PLAZA DE CIBELES,COLONIA SAN IGNACIO DE LOYOLA,Nocturno
520,N20,PLAZA DE CIBELES,BARRIO DE PEÑAGRANDE,Nocturno
521,N21,PLAZA DE CIBELES,ARROYO DEL FRESNO,Nocturno
522,N22,PLAZA DE CIBELES,BARRIO DEL PILAR,Nocturno
523,N23,PLAZA DE CIBELES,MONTECARMELO,Nocturno
524,N24,PLAZA DE CIBELES,LAS TABLAS,Nocturno
525,N25,PLAZA DE ALONSO MARTINEZ,VILLA DE VALLECAS,Nocturno
526,N26,PLAZA DE ALONSO MARTINEZ,ALUCHE,Nocturno
527,N27,PLAZA DE CIBELES,AEROPUERTO,Nocturno
601,M1,PUERTA DEL SOL/SEVILLA,GLORIETA DE EMBAJADORES,Mini
602,M2,SEVILLA,ARGÜELLES,Mini
661,SE661,BUS DE LA NAVIDAD,BUS DE LA NAVIDAD,Bus Navidad
702,SE702,PLAZA ELIPTICA,CEMENTERIO SUR,Diario
704,SE704,PLAZA DE CASTILLA,CEMENTERIO DE FUENCARRAL,Diario
730,SE730,PRINCIPE PIO,PINAR DE SAN JOSE,SE
766,SE766,ATOCHA,POLIGONO INDUSTRIAL DE VALLECAS,SE
799,SE799,MAR DE CRISTAL,VALDEBEBAS,SE
